No,Product Title,Price,Rating,Product URL,Availability
21,Apple iPhone 15 Plus (128 GB) - Blue,"79,999",,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHX6X2WW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-16,Unavailable
22,"Error: Message: Unable to locate element: .a-price-whole; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:193:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:511:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",,,,
23,Apple iPhone 15 Plus (128 GB) - Pink,"79,999",,https://www.amazon.in/Apple-iPhone-15-Plus-128/dp/B0CHWYXK1R/ref=sr_1_18?dib=eyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY&dib_tag=se&keywords=iphone+15&qid=1724743582&sr=8-18,Unavailable
24,"Xiaomi 14 (White, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS","69,999",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjM2NTQ5MzQzMjg1NTMxOjE3MjQ3NDM1ODM6c3BfYnRmOjMwMDE0NDM5NjY0MzEzMjo6MDo6&url=%2FXiaomi-Storage-Professional-Optics-AMOLED%2Fdp%2FB0CW3H8YKD%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1724743582%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Unavailable
25,"Oneplus Open (Emerald Dusk, 16GB RAM, 512GB Storage)","1,39,999",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjM2NTQ5MzQzMjg1NTMxOjE3MjQ3NDM1ODM6c3BfYnRmOjMwMDA3NzgxNjU5NDUzMjo6MDo6&url=%2FOneplus-Open-Emerald-512GB-Storage%2Fdp%2FB0CKTPK4FG%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1724743582%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Unavailable
26,"Samsung Galaxy M35 5G (Moonlight Blue,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","21,499",,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjM2NTQ5MzQzMjg1NTMxOjE3MjQ3NDM1ODM6c3BfYnRmOjMwMDI5Nzk3MzM4ODgzMjo6MDo6&url=%2FSamsung-Moonlight-Storage-Corning-Gorilla%2Fdp%2FB0D813HQFN%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.8-aKrERwPzdGyJWfWOa56O2yDcolF6kjNajUNykMKg82jxaiHGLt-9jMmKFSoG5OqiIDAjBzquOZzRUnhDQXOGqouoKUq8M-65-fMWUPbqz-jVX0npGuiaFQuKsn4jhzVUwciC1qgKTf8HXbmTLSbY5-9uHJy2ahuHpv4vILcbsVtnfiQYlaM1rkPZd76CuztTAvVLOzaod_PYYQydYtXLIhy4pw-4A2yx1IN9jP5qE.rSquKFurcy7noIYfoqHN9v6Xj90eS6R6Jlrz9L-10rY%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1724743582%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Unavailable
27,Apple iPhone 15 Pro (128 GB) - Black Titanium,"1,28,200",,https://aax-eu.amazon.in/x/c/JKcskZeckQ5jiIJXQkbGkckAAAGRkrqFmgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICAf4Af1/https://www.amazon.in/dp/B0CHX7V9TY?pd_rd_i=B0CHX7V9TY&pf_rd_p=a2bbbb64-48b4-4667-bc8e-161434209626&pf_rd_r=H82ADS4ZTVR33VXEBCHN&pd_rd_wg=Ahb4o&pd_rd_w=xghO1&pd_rd_r=3fea3c40-c904-4c41-bc0f-4eeb3a955224,Unavailable
28,"Error: Message: Unable to locate element: .a-size-medium.a-color-base.a-text-normal; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:193:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:511:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",,,,
29,"Error: Message: Unable to locate element: .a-size-medium.a-color-base.a-text-normal; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:193:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:511:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",,,,
30,"Error: Message: Unable to locate element: .a-size-medium.a-color-base.a-text-normal; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
RemoteError@chrome://remote/content/shared/RemoteError.sys.mjs:8:8
WebDriverError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:193:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.sys.mjs:511:5
dom.find/</<@chrome://remote/content/shared/DOM.sys.mjs:136:16
",,,,
